2017112201p干流数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_2013-3-01_2013-4-01_NDWI_30m",1456.85,4.26609,4473.55,4.97066,97.6480
"监测时间：Lan7_2013-6-01_2013-7-01_NDWI_30m",10.2105,0.871001,4469.15,0.572615,38.3617
"监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m",11.1749,0.984604,4469.18,0.601768,31.3869
"监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m",79.2638,1.71657,4469.95,1.37177,52.3114
"监测时间：Lan7_2013-12-01_2014-1-01_NDWI_30m",86.8054,1.73493,4470.02,1.44306,55.7989
"监测时间：Lan7_2014-10-01_2014-11-01_NDWI_30m",67.7220,1.65738,4469.85,1.26698,48.8240
"监测时间：Lan7_2014-11-01_2014-12-01_NDWI_30m",0.198343,0.351542,4468.74,0.156725,6.97486
"监测时间：Lan7_2015-3-01_2015-4-01_NDWI_30m",447.575,2.88561,4471.39,2.80788,80.2109
"监测时间：Lan7_2015-5-01_2015-6-01_NDWI_30m",447.575,2.88561,4471.39,2.80788,80.2109
"监测时间：Lan7_2015-7-01_2015-8-01_NDWI_30m",67.7220,1.65738,4469.85,1.26698,48.8240
"监测时间：Lan7_2015-8-01_2015-9-01_NDWI_30m",31.8914,1.30386,4469.48,0.901249,41.8491
"监测时间：Lan7_2015-9-01_2015-10-01_NDWI_30m",17.5221,1.20619,4469.30,0.718669,27.8994
"监测时间：Lan7_2015-10-01_2015-11-01_NDWI_30m",79.0664,1.63190,4470.00,1.41730,59.2863
"监测时间：Lan7_2016-4-01_2016-5-01_NDWI_30m",3061.07,5.13213,4475.69,7.10764,129.035
"监测时间：Lan7_2016-5-01_2016-6-01_NDWI_30m",31.8914,1.30386,4469.48,0.901249,41.8491
"监测时间：Lan7_2016-7-01_2016-8-01_NDWI_30m",0.0438376,0.138287,4468.68,0.0962467,17.4371
"监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m",10.2105,0.871001,4469.15,0.572615,38.3617
"监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m",79.2638,1.71657,4469.95,1.37177,52.3114
"监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m",77.1912,1.57998,4470.01,1.42420,62.7737
"监测时间：Lan7_2018-2-01_2018-3-01_NDWI_30m",41.5917,1.25644,4469.68,1.09881,66.2612
"监测时间：Lan7_2018-4-01_2018-5-01_NDWI_30m",148.627,1.92856,4470.38,1.79508,73.2360
"监测时间：Lan7_2018-5-01_2018-6-01_NDWI_30m",31.8914,1.30386,4469.48,0.901249,41.8491
"监测时间：Lan7_2018-7-01_2018-8-01_NDWI_30m",70.3842,1.46432,4469.96,1.38347,69.7486
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",3.23938,0.649101,4468.93,0.352837,24.4120
"监测时间：Lan7_2018-9-01_2018-10-01_NDWI_30m",10.2105,0.871001,4469.15,0.572615,38.3617
"监测时间：Lan7_2019-4-01_2019-5-01_NDWI_30m",1324.91,4.16663,4473.30,4.71588,94.1606
"监测时间：Lan7_2019-10-01_2019-11-01_NDWI_30m",79.2638,1.71657,4469.95,1.37177,52.3114
"监测时间：Lan7_2020-3-01_2020-4-01_NDWI_30m",41.5917,1.25644,4469.68,1.09881,66.2612
"监测时间：Lan7_2020-5-01_2020-6-01_NDWI_30m",41.5917,1.25644,4469.68,1.09881,66.2612
"监测时间：Lan7_2020-6-01_2020-7-01_NDWI_30m",447.575,2.88561,4471.39,2.80788,80.2109
