2017112201p干流数字河道,监测时间：Lan7_2013-12-01_2014-1-01_NDWI_30m
"RS river width",55.79886547869491
"slop",0.003154492400000000
"adjusted slop",0.003154492400000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4470.024356000005
"Water Depth",1.443061333333390
"velocity of flow",1.734932276433066
" runoff",86.80543861431141
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",150.0000000000000
"Section area",50.03390610311260
"wetted perimeter length",56.08617848544825
"hydraulic radius",0.8920897706748565
