2017112202-1数字河道,监测时间：Lan7_2015-7-01_2015-8-01_NDWI_30m
"RS river width",12.57174516132906
"slop",0.001642325700000000
"adjusted slop",0.001642325700000000
"roughness coefficient",0.03000000000000000
" adjusted roughness coefficient",0.03000000000000000
"Water Level",4075.068600000000
"Water Depth",0.9054999999998472
"velocity of flow",0.6935468632464379
" runoff",3.306234726294693
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",1.000000000000000
"Section area",4.767139614500555
"wetted perimeter length",12.95855944110364
"hydraulic radius",0.3678757377443917
