2017112203P数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_1999-7-01_1999-8-01_NDWI_30m",2.29915,0.948876,3870.38,0.338993,10.0623
"监测时间：Lan7_1999-9-01_1999-10-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2000-5-01_2000-6-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2000-8-01_2000-9-01_NDWI_30m",0.0574028,0.153561,3870.15,0.107891,26.8328
"监测时间：Lan7_2000-9-01_2000-10-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2000-10-01_2000-11-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2001-6-01_2001-7-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2001-8-01_2001-9-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2001-9-01_2001-10-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2001-10-01_2001-11-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2002-6-01_2002-7-01_NDWI_30m",0.0445536,0.232005,3870.12,0.0751505,6.70820
"监测时间：Lan7_2002-8-01_2002-9-01_NDWI_30m",3.34355,0.982937,3870.48,0.432451,13.4164
"监测时间：Lan7_2002-10-01_2002-11-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2003-4-01_2003-5-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2003-5-01_2003-6-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2003-7-01_2003-8-01_NDWI_30m",0.0445536,0.232005,3870.12,0.0751505,6.70820
"监测时间：Lan7_2003-9-01_2003-10-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2004-8-01_2004-9-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2004-10-01_2004-11-01_NDWI_30m",0.487036,0.411261,3870.25,0.201023,20.1246
"监测时间：Lan7_2004-11-01_2004-12-01_NDWI_30m",556.753,4.32846,3873.43,3.38232,53.6656
"监测时间：Lan7_2005-6-01_2005-7-01_NDWI_30m",3.34355,0.982937,3870.48,0.432451,13.4164
"监测时间：Lan7_2005-7-01_2005-8-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2005-8-01_2005-9-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2005-9-01_2005-10-01_NDWI_30m",2.29915,0.948876,3870.38,0.338993,10.0623
"监测时间：Lan7_2005-10-01_2005-11-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2006-4-01_2006-5-01_NDWI_30m",0.487036,0.411261,3870.25,0.201023,20.1246
"监测时间：Lan7_2006-6-01_2006-7-01_NDWI_30m",0.0492266,0.316387,3870.11,0.0655752,3.35410
"监测时间：Lan7_2006-7-01_2006-8-01_NDWI_30m",0.391910,0.403608,3870.23,0.183828,16.7705
"监测时间：Lan7_2006-8-01_2006-9-01_NDWI_30m",2.29915,0.948876,3870.38,0.338993,10.0623
"监测时间：Lan7_2006-9-01_2006-10-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2006-10-01_2006-11-01_NDWI_30m",0.487036,0.411261,3870.25,0.201023,20.1246
"监测时间：Lan7_2007-5-01_2007-6-01_NDWI_30m",0.000000,0.000000,0.000000,0.000000,0.000000
"监测时间：Lan7_2007-6-01_2007-7-01_NDWI_30m",0.560685,0.343609,3870.24,0.192330,33.5410
