2017112203P数字河道,监测时间：Lan7_2018-9-01_2018-10-01_NDWI_30m
"RS river width",23.47871391970750
"slop",0.002427433600000000
"adjusted slop",0.002427433600000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3870.183267326732
"Water Depth",0.1381544554433276
"velocity of flow",0.4322476793170179
" runoff",0.2561817013469251
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",0.5926733990838551
"wetted perimeter length",8.063654692894783
"hydraulic radius",0.07349935254619520
