2017112205河道断面计算,监测时间：Lan7_2001-3-01_2001-4-01_NDWI_30m
"RS river width",42.36776500098182
"slop",0.0009016737300000000
"adjusted slop",0.0009016737300000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3741.961974834414
"Water Depth",0.2397086092755671
"velocity of flow",0.2575263227285928
" runoff",0.4927793518712582
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",300.0000000000000
"Section area",1.913510613789173
"wetted perimeter length",26.93645693801987
"hydraulic radius",0.07103794749963273
