2017112206p数字河道Monitor_Time,Flow(m3/s),FlowVelocity(m/s),WaterLevel(m),WaterDepth(m),WaterWidth(m)
"监测时间：Lan7_1999-7-01_1999-8-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_1999-9-01_1999-10-01_NDWI_30m",136.875,1.09356,3627.48,4.67549,66.5640
"监测时间：Lan7_2000-4-01_2000-5-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2000-5-01_2000-6-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2000-8-01_2000-9-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2000-9-01_2000-10-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2000-10-01_2000-11-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2000-11-01_2000-12-01_NDWI_30m",151.703,1.00872,3627.82,5.01806,91.5255
"监测时间：Lan7_2001-4-01_2001-5-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2001-6-01_2001-7-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2001-8-01_2001-9-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2001-9-01_2001-10-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2001-10-01_2001-11-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2001-11-01_2001-12-01_NDWI_30m",142.638,1.08607,3627.57,4.76525,70.7243
"监测时间：Lan7_2002-4-01_2002-5-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2002-6-01_2002-7-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2002-8-01_2002-9-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2002-10-01_2002-11-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2003-2-01_2003-3-01_NDWI_30m",151.813,1.08667,3627.68,4.87989,74.8845
"监测时间：Lan7_2003-4-01_2003-5-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2003-5-01_2003-6-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2003-7-01_2003-8-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2004-8-01_2004-9-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2004-9-01_2004-10-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2004-10-01_2004-11-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2004-11-01_2004-12-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2005-4-01_2005-5-01_NDWI_30m",136.875,1.09356,3627.48,4.67549,66.5640
"监测时间：Lan7_2005-7-01_2005-8-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2005-8-01_2005-9-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2005-9-01_2005-10-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2005-10-01_2005-11-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2006-4-01_2006-5-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2006-7-01_2006-8-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2006-8-01_2006-9-01_NDWI_30m",161.184,1.09167,3627.79,4.98316,79.0448
"监测时间：Lan7_2006-9-01_2006-10-01_NDWI_30m",71.4323,1.10768,3626.23,3.43144,33.2820
"监测时间：Lan7_2007-3-01_2007-4-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2007-6-01_2007-7-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2007-7-01_2007-8-01_NDWI_30m",91.0790,1.07709,3626.73,3.92571,45.7628
"监测时间：Lan7_2007-8-01_2007-9-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2007-9-01_2007-10-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2007-10-01_2007-11-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2007-12-01_2008-1-01_NDWI_30m",170.945,1.09492,3627.89,5.08842,83.2050
"监测时间：Lan7_2008-3-01_2008-4-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2008-6-01_2008-7-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2008-7-01_2008-8-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2008-12-01_2009-1-01_NDWI_30m",136.875,1.09356,3627.48,4.67549,66.5640
"监测时间：Lan7_2009-1-01_2009-2-01_NDWI_30m",151.703,1.00872,3627.82,5.01806,91.5255
"监测时间：Lan7_2009-3-01_2009-4-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2009-5-01_2009-6-01_NDWI_30m",91.0790,1.07709,3626.73,3.92571,45.7628
"监测时间：Lan7_2009-7-01_2009-8-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2009-8-01_2009-9-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2009-9-01_2009-10-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2010-10-01_2010-11-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2010-12-01_2011-1-01_NDWI_30m",149.951,0.984854,3627.84,5.03931,95.6858
"监测时间：Lan7_2011-5-01_2011-6-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2011-6-01_2011-7-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2011-8-01_2011-9-01_NDWI_30m",91.0790,1.07709,3626.73,3.92571,45.7628
"监测时间：Lan7_2011-9-01_2011-10-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2011-10-01_2011-11-01_NDWI_30m",42.9166,1.01306,3625.45,2.64756,24.9615
"监测时间：Lan7_2011-11-01_2011-12-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2012-4-01_2012-5-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2012-5-01_2012-6-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2012-7-01_2012-8-01_NDWI_30m",42.9166,1.01306,3625.45,2.64756,24.9615
"监测时间：Lan7_2012-9-01_2012-10-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2012-10-01_2012-11-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2012-11-01_2012-12-01_NDWI_30m",151.813,1.08667,3627.68,4.87989,74.8845
"监测时间：Lan7_2013-3-01_2013-4-01_NDWI_30m",161.184,1.09167,3627.79,4.98316,79.0448
"监测时间：Lan7_2013-4-01_2013-5-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2013-5-01_2013-6-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2013-6-01_2013-7-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2013-7-01_2013-8-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2013-10-01_2013-11-01_NDWI_30m",71.4323,1.10768,3626.23,3.43144,33.2820
"监测时间：Lan7_2014-4-01_2014-5-01_NDWI_30m",142.638,1.08607,3627.57,4.76525,70.7243
"监测时间：Lan7_2014-6-01_2014-7-01_NDWI_30m",71.4323,1.10768,3626.23,3.43144,33.2820
"监测时间：Lan7_2014-7-01_2014-8-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2014-8-01_2014-9-01_NDWI_30m",91.0790,1.07709,3626.73,3.92571,45.7628
"监测时间：Lan7_2014-9-01_2014-10-01_NDWI_30m",91.0790,1.07709,3626.73,3.92571,45.7628
"监测时间：Lan7_2014-10-01_2014-11-01_NDWI_30m",136.875,1.09356,3627.48,4.67549,66.5640
"监测时间：Lan7_2015-4-01_2015-5-01_NDWI_30m",170.402,1.07147,3627.93,5.12240,87.3653
"监测时间：Lan7_2015-6-01_2015-7-01_NDWI_30m",62.1047,1.10468,3625.97,3.16333,29.1218
"监测时间：Lan7_2015-7-01_2015-8-01_NDWI_30m",135.967,1.11839,3627.42,4.61957,62.4038
"监测时间：Lan7_2015-9-01_2015-10-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2016-3-01_2016-4-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2016-5-01_2016-6-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2016-9-01_2016-10-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2016-10-01_2016-11-01_NDWI_30m",62.1047,1.10468,3625.97,3.16333,29.1218
"监测时间：Lan7_2017-5-01_2017-6-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2017-9-01_2017-10-01_NDWI_30m",71.4323,1.10768,3626.23,3.43144,33.2820
"监测时间：Lan7_2017-11-01_2017-12-01_NDWI_30m",91.0790,1.07709,3626.73,3.92571,45.7628
"监测时间：Lan7_2018-2-01_2018-3-01_NDWI_30m",114.373,1.10495,3627.11,4.30699,54.0833
"监测时间：Lan7_2018-3-01_2018-4-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2018-5-01_2018-6-01_NDWI_30m",136.875,1.09356,3627.48,4.67549,66.5640
"监测时间：Lan7_2018-6-01_2018-7-01_NDWI_30m",91.0790,1.07709,3626.73,3.92571,45.7628
"监测时间：Lan7_2018-8-01_2018-9-01_NDWI_30m",136.875,1.09356,3627.48,4.67549,66.5640
"监测时间：Lan7_2018-10-01_2018-11-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2018-12-01_2019-1-01_NDWI_30m",129.030,1.12535,3627.31,4.50531,58.2435
"监测时间：Lan7_2019-4-01_2019-5-01_NDWI_30m",71.4323,1.10768,3626.23,3.43144,33.2820
"监测时间：Lan7_2019-9-01_2019-10-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
"监测时间：Lan7_2019-10-01_2019-11-01_NDWI_30m",170.402,1.07147,3627.93,5.12240,87.3653
"监测时间：Lan7_2019-11-01_2019-12-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2020-2-01_2020-3-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2020-3-01_2020-4-01_NDWI_30m",142.638,1.08607,3627.57,4.76525,70.7243
"监测时间：Lan7_2020-4-01_2020-5-01_NDWI_30m",101.713,1.08900,3626.92,4.11179,49.9230
"监测时间：Lan7_2020-5-01_2020-6-01_NDWI_30m",72.8598,1.06562,3626.34,3.54062,37.4423
"监测时间：Lan7_2020-6-01_2020-7-01_NDWI_30m",78.7165,1.05502,3626.50,3.69863,41.6025
