2017112206p数字河道,监测时间：Lan7_2005-9-01_2005-10-01_NDWI_30m
"RS river width",58.24351856325522
"slop",0.0002103405000000000
"adjusted slop",0.0002103405000000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",3627.308471287132
"Water Depth",4.505306930687766
"velocity of flow",1.125351193685171
" runoff",129.0304759368574
"factor of velocity",1.000000000000000
"Width error%",2.000000000000000
"section smooth factor",200.0000000000000
"Section area",114.6579633637062
"wetted perimeter length",59.30882237470323
"hydraulic radius",1.933236216347651
