2017112301河道计算,监测时间：Lan7_2017-10-01_2017-11-01_NDWI_30m
"RS river width",40.24922233647684
"slop",0.007825409100000000
"adjusted slop",0.007825409100000000
"roughness coefficient",0.02000000000000000
" adjusted roughness coefficient",0.02000000000000000
"Water Level",2759.452433333331
"Water Depth",0.4721980392178011
"velocity of flow",1.671232996293659
" runoff",16.00362504411085
"factor of velocity",1.000000000000000
"Width error%",5.000000000000000
"section smooth factor",100.0000000000000
"Section area",9.575938890389637
"wetted perimeter length",41.22979157570731
"hydraulic radius",0.2322577564527831
